source,ipAddress,port,country,protocols,anonymityLevel
freeproxylist,202.51.3.40,8080,np,http,transparent
freeproxylist,79.188.90.145,808,pl,http,transparent
freeproxylist,130.204.136.120,53281,bg,http,transparent
freeproxylist,103.239.255.214,8080,bd,http,transparent
freeproxylist,183.91.79.138,8080,id,http,transparent
freeproxylist,59.145.117.26,3128,in,http,transparent
freeproxylist,103.239.255.137,8080,bd,http,transparent
freeproxylist,94.230.114.89,8585,ru,http,transparent
freeproxylist,110.50.84.59,8080,id,http,transparent
freeproxylist,181.198.106.178,3128,ec,http,transparent
freeproxylist,45.124.57.22,8080,ph,http,transparent
freeproxylist,110.170.150.206,8080,th,http,transparent
freeproxylist,174.32.131.254,87,us,http,transparent
freeproxylist,110.74.193.213,8080,kh,http,transparent
freeproxylist,62.162.84.83,8080,mk,http,transparent
freeproxylist,186.33.207.138,8080,ar,http,transparent
freeproxylist,180.250.182.50,8080,id,http,transparent
freeproxylist,110.136.251.63,8080,id,http,transparent
freeproxylist,185.86.202.185,53281,it,http,elite
freeproxylist,83.219.150.55,41258,ru,http,elite
freeproxylist,85.172.109.18,8080,ru,http,elite
freeproxylist,85.219.206.209,8080,pl,http,elite
freeproxylist,103.246.3.85,8080,id,http,elite
freeproxylist,88.203.197.241,8080,bg,http,elite
freeproxylist,89.40.119.252,80,de,http,anonymous
freeproxylist,84.22.27.52,8080,bg,http,elite
freeproxylist,138.68.59.192,8080,us,http,anonymous
freeproxylist,186.42.185.94,31588,ec,http,elite
freeproxylist,195.201.249.80,3128,ru,http,elite
freeproxylist,95.216.153.27,3128,ua,http,elite
freeproxylist,115.145.212.143,80,kr,http,elite
freeproxylist,77.220.209.15,53281,uz,http,elite
freeproxylist,190.129.50.102,53281,bo,http,elite
freeproxylist,66.119.180.103,80,ca,http,anonymous
freeproxylist,140.227.82.51,3128,jp,http,elite
freeproxylist,178.57.35.66,44331,ru,http,elite
freeproxylist,89.23.18.29,53281,ru,http,elite
freeproxylist,103.234.254.182,53281,id,http,elite
freeproxylist,195.140.222.69,41258,pl,http,elite
freeproxylist,35.233.225.185,8080,us,http,elite
freeproxylist,93.156.177.91,53281,es,http,elite
freeproxylist,190.147.39.16,8080,co,http,elite
freeproxylist,60.250.79.187,80,tw,http,anonymous
freeproxylist,176.31.125.111,80,fr,http,elite
freeproxylist,186.233.98.198,53281,br,http,elite
freeproxylist,200.107.35.94,53281,ec,http,elite
freeproxylist,43.245.191.210,53281,id,http,elite
freeproxylist,185.142.208.109,41258,cz,http,elite
freeproxylist,88.199.143.7,53281,pl,http,elite
freeproxylist,140.227.80.112,3129,jp,http,elite
freeproxylist,177.22.36.243,53281,br,http,elite
freeproxylist,89.212.66.36,8080,si,http,elite
freeproxylist,104.238.144.198,80,us,http,anonymous
freeproxylist,200.119.198.130,53281,bo,http,elite
freeproxylist,187.32.8.12,53281,br,http,elite
freeproxylist,45.113.133.158,8080,,http,anonymous
freeproxylist,139.59.13.92,80,in,http,elite
freeproxylist,164.77.147.93,53281,cl,http,elite
freeproxylist,201.20.89.30,53281,br,http,elite
freeproxylist,81.211.23.6,3128,ru,http,elite
freeproxylist,207.204.85.162,53281,jm,http,elite
freeproxylist,90.160.65.130,53281,es,http,elite
freeproxylist,103.30.92.183,53281,id,http,elite
freeproxylist,143.0.176.242,53281,br,http,elite
freeproxylist,190.152.17.62,53281,ec,http,elite
freeproxylist,113.161.64.45,3128,vn,http,anonymous
freeproxylist,46.37.198.1,8080,ua,http,elite
freeproxylist,153.126.190.244,60088,jp,http,anonymous
freeproxylist,78.154.187.126,8080,ua,http,elite
freeproxylist,186.10.80.226,80,cl,http,elite
freeproxylist,110.37.229.141,8080,pk,http,elite
freeproxylist,109.248.218.241,41258,ru,http,elite
freeproxylist,177.52.250.126,8080,br,http,elite
freeproxylist,37.187.116.199,80,fr,http,elite
freeproxylist,93.157.212.34,53281,ru,http,elite
freeproxylist,203.192.202.131,53281,in,http,elite
freeproxylist,95.68.252.20,8080,ru,http,elite
freeproxylist,78.24.10.203,80,cz,http,elite
freeproxylist,46.4.62.108,80,de,http,elite
freeproxylist,140.227.79.112,3129,jp,http,elite
freeproxylist,109.108.87.216,8080,ua,http,elite
freeproxylist,77.95.198.93,8080,cz,http,elite
freeproxylist,05.197.183.222,8080,az,http,elite
freeproxylist,189.112.92.139,53281,br,http,elite
freeproxylist,60.52.103.230,53281,my,http,elite
freeproxylist,40.78.60.44,8080,us,http,anonymous
freeproxylist,165.90.11.18,8080,ke,http,elite
freeproxylist,5.59.54.14,8080,cz,http,elite
freeproxylist,46.45.19.138,53281,ru,http,elite
freeproxylist,67.133.76.233,53281,us,http,elite
freeproxylist,178.176.28.164,8080,ru,http,anonymous
freeproxylist,47.52.109.200,80,us,http,anonymous
freeproxylist,91.221.252.93,8080,ua,http,elite
freeproxylist,140.227.9.87,3129,jp,http,elite
freeproxylist,66.119.180.101,80,ca,http,anonymous
freeproxylist,188.126.63.171,41258,ru,http,elite
freeproxylist,77.91.65.52,39275,ru,http,elite
freeproxylist,213.136.77.246,80,de,http,anonymous
freeproxylist,81.17.17.163,80,ch,http,anonymous
freeproxylist,52.163.120.142,8080,sg,http,anonymous
freeproxylist,203.77.224.186,63909,id,http,elite
freeproxylist,195.58.24.221,3128,ru,http,elite
freeproxylist,103.21.163.74,53281,in,http,elite
freeproxylist,91.200.1.203,8080,ua,http,elite
freeproxylist,190.5.103.234,53281,hn,http,elite
freeproxylist,202.74.242.248,31773,bd,http,elite
freeproxylist,186.232.48.70,53281,br,http,elite
freeproxylist,188.254.192.240,53281,bg,http,elite
freeproxylist,36.85.226.86,53281,id,http,elite
freeproxylist,93.91.157.141,8080,cz,http,elite
freeproxylist,217.30.64.26,53281,cz,http,elite
freeproxylist,177.107.191.190,53281,br,http,elite
freeproxylist,103.81.104.153,53281,,http,transparent
